account_id,plan_tier,mrr_amount,total_usage_events,total_support_tickets,referral_source
A-d4e0d4,Enterprise,23283,1.0,4.0,other
A-1f0636,Enterprise,20895,0.0,2.0,partner
A-aa9511,Enterprise,19303,2.0,2.0,other
A-d77f4c,Enterprise,18706,3.0,2.0,partner
A-40906c,Enterprise,18308,3.0,5.0,ads
A-66224b,Enterprise,18308,3.0,6.0,other
A-5a215a,Enterprise,17313,3.0,4.0,other
A-e51ec7,Enterprise,16517,2.0,3.0,partner
A-902ef7,Enterprise,16517,3.0,2.0,other
A-65a46c,Enterprise,15522,1.0,8.0,event
A-58b9ff,Enterprise,15124,3.0,2.0,partner
A-712f1c,Enterprise,14925,3.0,6.0,ads
A-054577,Enterprise,14925,3.0,1.0,ads
A-90a8c8,Enterprise,14527,3.0,4.0,organic
A-5b1bcd,Enterprise,14527,3.0,4.0,organic
A-fa3095,Enterprise,13930,2.0,5.0,ads
A-c58f49,Enterprise,13930,2.0,3.0,other
A-fa3095,Enterprise,13930,1.0,5.0,ads
A-c58f49,Enterprise,13930,3.0,3.0,other
A-09316c,Enterprise,13930,3.0,4.0,organic
A-76fa4d,Enterprise,13731,3.0,5.0,event
A-2d1036,Enterprise,13731,3.0,5.0,ads
A-80eeb6,Enterprise,13532,1.0,4.0,organic
A-e08cd3,Enterprise,13333,2.0,8.0,ads
A-e08cd3,Enterprise,13333,3.0,8.0,ads
A-2ebb4b,Enterprise,12935,3.0,2.0,ads
A-5c9849,Enterprise,12338,2.0,4.0,partner
A-de58ca,Enterprise,12338,3.0,5.0,organic
A-6c093d,Enterprise,12139,2.0,3.0,partner
A-671f31,Enterprise,11741,2.0,7.0,ads
A-ccabf0,Enterprise,11741,1.0,4.0,organic
A-309e54,Enterprise,11741,2.0,5.0,other
A-779e4e,Enterprise,11542,3.0,5.0,organic
A-fd9422,Enterprise,11542,3.0,6.0,organic
A-e60f9d,Enterprise,11542,1.0,2.0,other
A-503d5a,Enterprise,11144,1.0,9.0,other
A-d77f4c,Enterprise,10945,3.0,2.0,partner
A-812c5b,Enterprise,10945,2.0,4.0,organic
A-1619f8,Enterprise,10945,3.0,3.0,organic
A-40a557,Enterprise,10945,2.0,7.0,partner
A-71615e,Enterprise,10945,3.0,1.0,organic
A-ac85cd,Enterprise,10547,1.0,3.0,partner
A-ccb686,Enterprise,10547,3.0,1.0,other
A-b07346,Enterprise,10149,3.0,3.0,partner
A-adc1f3,Enterprise,9950,3.0,3.0,organic
A-bd4513,Enterprise,9950,3.0,3.0,event
A-1e1b80,Enterprise,9950,1.0,6.0,other
A-bd4513,Enterprise,9950,3.0,3.0,event
A-00bed1,Enterprise,9751,3.0,4.0,ads
A-35083d,Enterprise,9751,3.0,4.0,partner
A-3793ee,Enterprise,9751,2.0,4.0,organic
A-526d93,Enterprise,9751,2.0,5.0,organic
A-f3ff05,Enterprise,9552,1.0,3.0,other
A-faa28c,Enterprise,9552,3.0,4.0,organic
A-e60f9d,Enterprise,9552,2.0,2.0,other
A-10b8f2,Enterprise,9353,1.0,3.0,organic
A-eb2fdc,Enterprise,9353,2.0,5.0,organic
A-186a44,Enterprise,9353,1.0,7.0,ads
A-b2225d,Enterprise,9353,3.0,2.0,ads
A-3ce5b8,Pro,9261,3.0,10.0,ads
A-b3fe05,Enterprise,9154,2.0,4.0,partner
A-dbc825,Enterprise,8955,3.0,6.0,partner
A-7f4db3,Enterprise,8955,3.0,5.0,other
A-716841,Enterprise,8955,1.0,5.0,other
A-50f3f7,Enterprise,8955,2.0,6.0,partner
A-716841,Enterprise,8955,3.0,5.0,other
A-0b0d6d,Enterprise,8955,3.0,5.0,organic
A-e7a1e2,Enterprise,8756,3.0,1.0,event
A-ad3abd,Enterprise,8756,2.0,3.0,event
A-e43bf7,Enterprise,8756,3.0,5.0,other
A-ed510f,Enterprise,8358,3.0,9.0,partner
A-2ebb4b,Enterprise,8159,3.0,2.0,ads
A-8b0451,Enterprise,8159,3.0,7.0,event
A-1d5444,Enterprise,8159,0.0,2.0,partner
A-1d5444,Enterprise,8159,2.0,2.0,partner
A-855a48,Enterprise,7960,3.0,5.0,partner
A-89ee83,Enterprise,7960,3.0,5.0,organic
A-cbbe12,Enterprise,7960,3.0,6.0,partner
A-5fe118,Enterprise,7761,2.0,1.0,other
A-f51f16,Enterprise,7761,3.0,4.0,partner
A-7920cc,Enterprise,7761,1.0,7.0,ads
A-756192,Enterprise,7761,2.0,3.0,other
A-4d1e75,Enterprise,7562,2.0,2.0,other
A-ad296b,Enterprise,7562,3.0,3.0,event
A-ad296b,Enterprise,7562,2.0,3.0,event
A-271f46,Enterprise,7562,3.0,1.0,event
A-bd4708,Enterprise,7363,1.0,4.0,ads
A-692f18,Enterprise,7363,3.0,2.0,other
A-712f1c,Enterprise,7363,2.0,6.0,ads
A-9174e0,Enterprise,7363,1.0,2.0,partner
A-9174e0,Enterprise,7363,3.0,2.0,partner
A-9174e0,Enterprise,7363,3.0,2.0,partner
A-18793f,Pro,7252,1.0,5.0,organic
A-18793f,Pro,7252,2.0,5.0,organic
A-18793f,Pro,7252,2.0,5.0,organic
A-0b0d6d,Enterprise,7164,1.0,5.0,organic
A-f92792,Enterprise,6965,1.0,2.0,ads
A-ce550d,Enterprise,6965,3.0,7.0,event
A-7f8241,Enterprise,6766,3.0,1.0,organic
A-7f8241,Enterprise,6766,1.0,1.0,organic
A-2d4502,Enterprise,6766,1.0,3.0,event
A-aa9511,Enterprise,6567,2.0,2.0,other
A-3a7284,Enterprise,6567,3.0,3.0,organic
A-cb5333,Enterprise,6567,2.0,4.0,ads
A-d26ab4,Enterprise,6567,3.0,2.0,organic
A-9a532a,Enterprise,6567,3.0,2.0,partner
A-ac9111,Enterprise,6368,2.0,3.0,event
A-956988,Enterprise,6368,1.0,2.0,ads
A-940b8b,Enterprise,6368,2.0,3.0,organic
A-f25509,Enterprise,6368,3.0,6.0,other
A-eb2fdc,Enterprise,6169,2.0,5.0,organic
A-8e47ca,Enterprise,6169,2.0,5.0,organic
A-bc87bc,Enterprise,6169,2.0,7.0,event
A-993085,Enterprise,6169,2.0,4.0,ads
A-d5a319,Enterprise,6169,3.0,1.0,other
A-f5641b,Enterprise,6169,2.0,4.0,other
A-3a5ad8,Enterprise,6169,2.0,4.0,organic
A-e3bd71,Enterprise,6169,3.0,4.0,partner
A-0dbdc6,Enterprise,5970,3.0,4.0,other
A-c7ffc2,Enterprise,5970,3.0,2.0,partner
A-8ed5dd,Enterprise,5970,1.0,6.0,event
A-c7ffc2,Enterprise,5970,2.0,2.0,partner
A-37f969,Enterprise,5970,3.0,5.0,partner
A-726cfa,Enterprise,5970,2.0,3.0,partner
A-37f969,Enterprise,5970,1.0,5.0,partner
A-f9cc74,Enterprise,5970,3.0,6.0,partner
A-c7ffc2,Enterprise,5970,3.0,2.0,partner
A-ab438f,Enterprise,5970,3.0,2.0,ads
A-f9cc74,Enterprise,5970,2.0,6.0,partner
A-0a282f,Enterprise,5771,3.0,3.0,organic
A-e60f9d,Enterprise,5771,3.0,2.0,other
A-2e4581,Enterprise,5771,2.0,2.0,partner
A-9ee962,Enterprise,5771,0.0,3.0,ads
A-fb186e,Enterprise,5771,2.0,6.0,organic
A-e60f9d,Enterprise,5771,3.0,2.0,other
A-3c1a3f,Enterprise,5771,3.0,4.0,event
A-202b67,Enterprise,5771,0.0,4.0,organic
A-a33200,Enterprise,5771,3.0,3.0,partner
A-a33200,Enterprise,5771,2.0,3.0,partner
A-d4e0d4,Pro,5733,3.0,4.0,other
A-00bed1,Enterprise,5572,2.0,4.0,ads
