subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,is_churned,account_name,industry,country,signup_date,referral_source,total_usage_events,total_usage_mins,total_errors,distinct_active_days,total_support_tickets,avg_satisfaction_score,avg_resolution_time_hrs,is_high_risk
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,False,False,False,True,monthly,True,1,Company_224,DevTools,UK,2023-08-26,event,6.0,440.3,2.0,6.0,4.0,3.5,33.25,0
S-0f6f44,A-9b9fe9,2024-06-11,,Pro,17,833,9996,False,False,False,False,monthly,True,0,Company_71,EdTech,AU,2023-09-28,other,4.0,113.65,6.0,4.0,4.0,4.0,33.5,0
S-51c0d1,A-659280,2024-11-25,,Enterprise,62,0,0,True,True,False,False,annual,False,0,Company_417,FinTech,IN,2023-11-17,event,3.0,231.28333333333333,2.0,3.0,4.0,4.333333333333333,8.0,1
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,False,False,False,True,monthly,True,1,Company_295,Cybersecurity,US,2024-06-23,event,7.0,382.3833333333333,5.0,7.0,1.0,4.0,45.0,0
S-cff5a2,A-ba6516,2024-01-10,,Enterprise,27,5373,64476,False,False,False,False,monthly,True,0,Company_154,FinTech,US,2023-10-29,ads,0.0,0.0,0.0,0.0,6.0,4.0,31.5,1
S-4b9b13,A-fa2041,2024-08-13,,Pro,15,735,8820,False,False,False,False,monthly,True,0,Company_211,HealthTech,US,2024-05-29,organic,5.0,209.68333333333334,2.0,5.0,1.0,3.0,16.0,0
S-dceac6,A-417d2f,2023-12-30,,Enterprise,4,796,9552,False,False,False,False,annual,True,0,Company_285,Cybersecurity,IN,2023-07-04,partner,3.0,232.15,2.0,3.0,6.0,4.333333333333333,43.5,1
S-8cad7b,A-5f2961,2024-12-23,,Basic,16,304,3648,False,False,False,False,annual,True,0,Company_284,HealthTech,US,2024-11-22,partner,3.0,237.41666666666666,2.0,3.0,1.0,,53.0,1
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577,54924,False,False,False,False,annual,False,0,Company_482,DevTools,US,2024-06-16,ads,6.0,212.88333333333333,3.0,6.0,2.0,3.5,14.5,0
S-d0c344,A-80eeb6,2024-10-27,,Pro,22,1078,12936,False,False,False,False,annual,False,0,Company_402,Cybersecurity,UK,2023-05-09,organic,8.0,404.48333333333335,8.0,8.0,4.0,3.6666666666666665,40.25,0
S-477506,A-f03140,2024-02-06,,Pro,27,1323,15876,False,False,False,False,annual,True,0,Company_209,DevTools,IN,2023-11-22,event,9.0,550.1166666666667,6.0,9.0,7.0,3.6666666666666665,36.0,0
S-79a9e1,A-3a5ad8,2024-12-25,,Enterprise,22,0,0,True,False,False,False,annual,True,0,Company_94,HealthTech,US,2023-12-05,organic,2.0,67.26666666666667,0.0,2.0,4.0,4.5,44.75,1
S-59dc4b,A-f17767,2023-09-17,,Pro,26,1274,15288,False,True,True,False,monthly,True,0,Company_123,DevTools,US,2023-01-30,event,6.0,583.7666666666667,6.0,6.0,3.0,4.0,36.333333333333336,0
S-7acd8b,A-7920cc,2024-07-17,,Basic,39,741,8892,False,False,False,False,annual,True,0,Company_412,Cybersecurity,FR,2023-11-23,ads,6.0,251.4,1.0,6.0,7.0,4.333333333333333,32.857142857142854,0
S-428e9a,A-8ae3fc,2024-10-12,,Enterprise,88,0,0,True,False,False,False,monthly,True,0,Company_495,DevTools,CA,2024-06-28,ads,4.0,265.48333333333335,4.0,4.0,4.0,3.5,39.5,0
S-486088,A-0cc442,2024-09-18,,Pro,45,2205,26460,False,False,False,False,monthly,True,0,Company_198,EdTech,US,2024-07-18,organic,8.0,439.18333333333334,2.0,8.0,3.0,3.0,37.0,0
S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,1,Company_169,HealthTech,IN,2023-05-02,other,10.0,462.4,7.0,10.0,9.0,3.5,40.888888888888886,0
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,1,Company_274,EdTech,US,2024-03-01,partner,4.0,307.93333333333334,1.0,4.0,5.0,4.333333333333333,34.8,0
S-37e3ad,A-b30291,2024-04-25,,Basic,5,95,1140,False,False,False,False,monthly,True,0,Company_344,HealthTech,US,2024-04-05,event,2.0,95.26666666666667,0.0,2.0,1.0,,16.0,1
S-b17d04,A-e19ff6,2024-03-06,,Pro,8,392,4704,False,False,False,False,monthly,True,0,Company_411,Cybersecurity,UK,2023-07-28,partner,4.0,152.01666666666668,6.0,4.0,3.0,4.666666666666667,30.666666666666668,0
S-c27134,A-dec005,2024-03-31,,Pro,21,0,0,True,False,False,False,monthly,True,0,Company_445,HealthTech,US,2023-10-13,partner,3.0,147.33333333333334,2.0,3.0,2.0,3.0,59.0,1
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,1,Company_108,FinTech,CA,2023-08-13,other,4.0,137.95,0.0,4.0,5.0,3.5,31.4,0
S-82989b,A-f5641b,2024-11-30,,Basic,31,589,7068,False,False,False,False,monthly,True,0,Company_382,EdTech,US,2024-03-30,other,3.0,192.9,1.0,3.0,4.0,3.0,47.5,1
S-082b15,A-aa9511,2024-02-09,,Enterprise,97,19303,231636,False,False,False,False,annual,True,0,Company_203,DevTools,US,2023-10-10,other,2.0,69.35,0.0,2.0,2.0,4.0,56.5,1
S-434140,A-075038,2024-02-25,,Pro,17,833,9996,False,False,False,False,annual,True,0,Company_397,HealthTech,UK,2023-05-12,ads,7.0,384.25,5.0,7.0,2.0,3.0,43.5,0
S-c07ede,A-cea1f0,2024-10-07,,Pro,8,392,4704,False,False,False,False,annual,False,0,Company_273,FinTech,US,2024-04-07,event,2.0,65.9,1.0,2.0,5.0,4.333333333333333,42.2,1
S-287914,A-a1b80b,2024-08-15,,Pro,16,784,9408,False,False,False,False,annual,True,0,Company_184,HealthTech,US,2023-11-27,organic,7.0,254.91666666666666,6.0,7.0,4.0,4.0,41.0,0
S-b3bd43,A-b2225d,2024-11-03,,Pro,50,2450,29400,False,False,False,False,monthly,False,0,Company_50,FinTech,US,2024-03-08,ads,9.0,469.06666666666666,8.0,9.0,2.0,3.0,42.0,0
S-4c82da,A-b9eed8,2024-08-01,,Pro,11,539,6468,False,False,False,False,monthly,False,0,Company_189,Cybersecurity,US,2024-02-23,organic,6.0,240.05,6.0,6.0,5.0,3.75,29.2,0
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,1,Company_288,FinTech,US,2024-06-27,event,9.0,348.45,5.0,9.0,2.0,4.0,63.0,0
S-b5643b,A-9f9299,2024-06-11,,Enterprise,28,5572,66864,False,False,False,False,annual,False,0,Company_133,FinTech,US,2023-09-02,organic,7.0,336.81666666666666,6.0,7.0,5.0,5.0,36.2,0
S-49a9aa,A-10b8f2,2023-06-16,,Basic,51,969,11628,False,False,False,False,annual,True,0,Company_151,HealthTech,DE,2023-01-11,organic,2.0,33.25,2.0,2.0,3.0,4.333333333333333,46.333333333333336,1
S-2877e6,A-95b24a,2024-06-28,,Enterprise,38,0,0,True,True,True,False,monthly,True,0,Company_117,FinTech,US,2023-06-06,event,7.0,290.1666666666667,1.0,7.0,5.0,4.25,21.2,0
S-8c10c1,A-0651a4,2024-12-25,,Enterprise,65,12935,155220,False,False,False,False,annual,True,0,Company_255,HealthTech,FR,2024-10-16,organic,4.0,228.15,5.0,4.0,4.0,4.0,29.25,0
